fund_id,family,method,canonical_net_annualised_return,sensitivity_net_annualised_return,delta_net_annualised_return,canonical_net_sharpe_ratio,sensitivity_net_sharpe_ratio,delta_net_sharpe_ratio,canonical_net_max_drawdown,sensitivity_net_max_drawdown,delta_net_max_drawdown
equity_equal_weight,Equity,Equal Weight,0.12624411374600264,0.12624411374600264,0.0,0.818319386731492,0.818319386731492,0.0,-0.2025658958348162,-0.2025658958348162,0.0
equity_minimum_variance,Equity,Minimum Variance,0.05361035177005613,0.05361034830989486,-3.4601612686202543e-09,0.47496985425255855,0.4749698276966986,-2.6555859955479377e-08,-0.15287760834141817,-0.1528776083414184,-2.220446049250313e-16
equity_maximum_sharpe,Equity,Maximum Sharpe,0.058266455013252116,0.05826645393011454,-1.0831375796271914e-09,0.4139570796020574,0.41395707390504316,-5.697014249239629e-09,-0.22621298737119766,-0.22621298737119744,2.220446049250313e-16
equity_risk_parity,Equity,Risk Parity,0.09890543523526096,0.09910317873650554,0.00019774350124457385,0.721895587561868,0.7230654058711481,0.0011698183092800907,-0.18500469253793916,-0.18500469253793872,4.440892098500626e-16
crypto_equal_weight,Crypto,Equal Weight,0.4045596303068091,0.25123494214758657,-0.1533246881592225,0.8283762301618302,0.6822281112948088,-0.1461481188670214,-0.8158019170666557,-0.8064342079997491,0.009367709066906649
crypto_minimum_variance,Crypto,Minimum Variance,0.6763880923488717,0.4833749946303427,-0.19301309771852893,1.0517653233230835,0.9047434497267842,-0.14702187359629926,-0.741993059969313,-0.7395153227361033,0.0024777372332096537
crypto_maximum_sharpe,Crypto,Maximum Sharpe,0.3468572258260978,0.252918803381154,-0.09393842244494377,0.7733096348810549,0.6792177402109455,-0.09409189467010937,-0.771636648198086,-0.7678084952958881,0.0038281529021978455
crypto_risk_parity,Crypto,Risk Parity,0.44238469283630466,0.2775303076661446,-0.16485438517016004,0.8619498124584476,0.7072991977138846,-0.154650614744563,-0.7988540372959418,-0.7929277973666701,0.0059262399292717705
combined_equal_weight,Combined,Equal Weight,0.15109255049553982,0.13043830081591046,-0.020654249679629366,0.7597710030593728,0.6892297036442983,-0.07054129941507459,-0.27887754909777174,-0.2810496202379196,-0.0021720711401478354
combined_minimum_variance,Combined,Minimum Variance,0.053561130770688914,0.05595515224092629,0.002394021470237373,0.4739335678530553,0.49152820054957524,0.017594632696519952,-0.15440908788177665,-0.15440981271831755,-7.248365408996094e-07
combined_maximum_sharpe,Combined,Maximum Sharpe,0.16505947638917662,0.14493348694935304,-0.020125989439823577,0.7710019291654054,0.7143954469282232,-0.05660648223718223,-0.22727623117321627,-0.2268270573612361,0.0004491738119801747
combined_risk_parity,Combined,Risk Parity,0.1394200943917019,0.12908993566423654,-0.010330158727465344,0.8867935099990014,0.8356780070539441,-0.05111550294505729,-0.19483899920910874,-0.1962889149145699,-0.0014499157054611578
