fund_id,family,method,start_date,end_date,observations,annualisation,transaction_cost_bps,net_cumulative_return,net_annualised_return,net_annualised_volatility,net_sharpe_ratio,net_max_drawdown,gross_cumulative_return,gross_annualised_return,gross_sharpe_ratio,average_rebalance_turnover,total_turnover,rebalance_count
equity_equal_weight,Equity,Equal Weight,2021-01-04,2023-12-29,753,252,5.0,0.4265366357098934,0.12624411374600264,0.16117558875630614,0.818319386731492,-0.2025658958348162,0.4272168148150324,0.1264237978181746,0.8192923665597748,0.027239281912380238,0.9533748669333083,36
equity_minimum_variance,Equity,Minimum Variance,2021-01-04,2023-12-29,753,252,5.0,0.1688804271944293,0.05361035177005613,0.1269034172830984,0.47496985425255855,-0.15287760834141817,0.17181881773798335,0.054496001892458734,0.48154524544417043,0.14346203365555896,5.021171177944564,36
equity_maximum_sharpe,Equity,Maximum Sharpe,2021-01-04,2023-12-29,753,252,5.0,0.1843833465021132,0.058266455013252116,0.17303307794185174,0.4139570796020574,-0.22621298737119766,0.190537746030907,0.06010360561440842,0.42391606416093347,0.29613552870184545,10.364743504564592,36
equity_risk_parity,Equity,Risk Parity,2021-01-04,2023-12-29,753,252,5.0,0.325541537413059,0.09890543523526096,0.14527909255249408,0.721895587561868,-0.18500469253793916,0.3262797215120601,0.09911020073711674,0.723160738729669,0.03181329060054001,1.1134651710189003,36
crypto_equal_weight,Crypto,Equal Weight,2021-01-01,2023-12-31,1095,365,5.0,1.77089803995964,0.4045596303068091,0.8188998503669441,0.8283762301618302,-0.8158019170666557,1.7737845161866876,0.4050471763369512,0.8288002835884539,0.05949408815909133,2.0822930855681965,36
crypto_minimum_variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,1095,365,5.0,3.711114959635341,0.6763880923488717,0.7868187244200969,1.0517653233230835,-0.741993059969313,3.721719617709919,0.6776449922786332,1.0527170255003853,0.12847727644203583,4.496704675471254,36
crypto_maximum_sharpe,Crypto,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,5.0,1.4432318531324246,0.3468572258260978,0.7827787007337121,0.7733096348810549,-0.771636648198086,1.4512884288603156,0.3483360255662251,0.7747127398272722,0.1881077497118544,6.5837712399149035,36
crypto_risk_parity,Crypto,Risk Parity,2021-01-01,2023-12-31,1095,365,5.0,2.000843277560129,0.44238469283630466,0.7989361743096439,0.8619498124584476,-0.7988540372959418,2.004219352287716,0.4429254045664892,0.8624190077583102,0.06425046857900893,2.2487664002653127,36
combined_equal_weight,Combined,Equal Weight,2021-01-04,2023-12-29,753,252,5.0,0.522661009703083,0.15109255049553982,0.2159991573116123,0.7597710030593728,-0.27887754909777174,0.523689200315351,0.15135261955180868,0.7608055516376532,0.03857279968817221,1.3500479890860275,36
combined_minimum_variance,Combined,Minimum Variance,2021-01-04,2023-12-29,753,252,5.0,0.16871726679791843,0.053561130770688914,0.12714886711760515,0.4739335678530553,-0.15440908788177665,0.17168698696203388,0.05445629891319359,0.48056857028626176,0.14500988240644055,5.0753458842254195,36
combined_maximum_sharpe,Combined,Maximum Sharpe,2021-01-04,2023-12-29,753,252,5.0,0.5785357854393349,0.16505947638917662,0.2333862933551624,0.7710019291654054,-0.22727623117321627,0.5869342221546403,0.16713024034334878,0.7785265403158709,0.30318979441144767,10.611642804400669,36
combined_risk_parity,Combined,Risk Parity,2021-01-04,2023-12-29,753,252,5.0,0.47698748262294455,0.1394200943917019,0.16201355498282338,0.8867935099990014,-0.19483899920910874,0.4779662399431168,0.13967272846916323,0.8881388134811272,0.03785398522477016,1.3248894828669555,36
